yyyymm,PTFSBD,PTFSFX,PTFSCOM,PTFSIR,PTFSSTK
200206,11.70%,55.30%,-2.50%,-1.60%,12.90%
200207,11.20%,-3.00%,-0.40%,33.40%,41.70%
200208,13.00%,-9.80%,-17.10%,-4.50%,-7.50%
200209,19.10%,-3.90%,2.80%,-6.10%,4.60%
200210,-20.40%,-28.00%,-15.90%,-20.30%,-22.90%
200211,-13.60%,-9.30%,-9.90%,-20.60%,-12.20%
200212,5.40%,40.40%,17.50%,-8.60%,-6.80%
200301,-8.60%,3.20%,-8.20%,-22.80%,-4.20%
200302,7.20%,-9.80%,-0.90%,22.20%,-1.80%
200303,-0.90%,3.40%,-6.50%,-0.60%,5.90%
200304,-23.40%,-11.10%,-11.10%,-21.00%,-5.30%
200305,19.20%,25.20%,15.30%,-5.60%,4.90%
200306,-5.00%,-5.80%,-15.80%,5.70%,-7.50%
200307,23.60%,3.40%,15.20%,-7.50%,-21.50%
200308,-8.10%,6.40%,24.00%,11.30%,-13.40%
200309,2.50%,45.00%,-0.60%,-14.90%,1.10%
200310,-17.00%,-8.40%,1.70%,-10.50%,-24.50%
200311,-11.40%,11.00%,-8.30%,4.00%,-18.40%
200312,-7.30%,3.00%,-0.30%,-8.70%,-1.70%
200401,-14.30%,0.00%,3.50%,-11.60%,-11.90%
200402,-10.00%,-7.10%,7.40%,-6.90%,-14.90%
200403,-0.70%,12.30%,14.90%,-1.60%,-1.60%
200404,-2.00%,-7.90%,10.50%,2.30%,-18.20%
200405,-13.20%,-12.00%,11.10%,15.10%,-25.90%
200406,-17.10%,-17.90%,-9.30%,-18.30%,-15.60%
200407,-11.60%,-8.80%,15.40%,-24.70%,-18.20%
200408,0.70%,-30.00%,-6.10%,-7.30%,-23.00%
200409,-12.40%,-15.30%,1.80%,-13.70%,-8.10%
200410,-5.50%,23.30%,-5.60%,-7.30%,6.70%
200411,-4.30%,41.80%,-4.10%,1.00%,13.10%
200412,-3.40%,-6.00%,-11.20%,-13.60%,1.50%
200501,-9.90%,-11.10%,-12.50%,-16.30%,-19.50%
200502,-3.00%,-5.30%,40.60%,10.70%,5.70%
200503,-13.40%,-0.40%,-10.00%,-12.50%,2.80%
200504,0.60%,-13.80%,-20.10%,-4.70%,7.50%
200505,3.60%,36.50%,-1.60%,-9.00%,-26.60%
200506,1.00%,-4.10%,-2.10%,19.20%,0.20%
200507,-26.00%,-2.90%,-22.00%,-4.80%,6.80%
