timestamp,fundingRate,return_around_funding,close,price_before,price_after,return_lag
2018-07-01 04:00:00,0.0001,-0.0032286006772186404,6349.5,6349.5,6329.0,
2018-07-01 12:00:00,0.0001,-0.006432381550047106,6374.0,6374.0,6333.0,-0.0032286006772186404
2018-07-01 20:00:00,0.0001,0.0468428548821016,6319.0,6319.0,6615.0,-0.006432381550047106
2018-07-02 04:00:00,0.000117,0.046847843261178745,6329.0,6329.0,6625.5,0.0468428548821016
2018-07-02 12:00:00,0.0001,0.039159955787146705,6333.0,6333.0,6581.0,0.046847843261178745
2018-07-02 20:00:00,0.0001,-0.0018896447467876554,6615.0,6615.0,6602.5,0.039159955787146705
2018-07-03 04:00:00,0.0001,-0.023998188815938404,6625.5,6625.5,6466.5,-0.0018896447467876554
2018-07-03 12:00:00,-5.5e-05,-0.00980094210606286,6581.0,6581.0,6516.5,-0.023998188815938404
2018-07-03 20:00:00,-0.00011200000000000001,0.012419538053767498,6602.5,6602.5,6684.5,-0.00980094210606286
2018-07-04 04:00:00,0.0001,0.023660403618650072,6466.5,6466.5,6619.5,0.012419538053767498
2018-07-04 12:00:00,0.0001,0.015499117624491632,6516.5,6516.5,6617.5,0.023660403618650072
2018-07-04 20:00:00,7.5e-05,-0.027002767596678856,6684.5,6684.5,6504.0,0.015499117624491632
2018-07-05 04:00:00,0.0001,-0.014653674748848156,6619.5,6619.5,6522.5,-0.027002767596678856
2018-07-05 12:00:00,0.0001,-0.013978088401964461,6617.5,6617.5,6525.0,-0.014653674748848156
2018-07-05 20:00:00,0.0001,0.009609471094710997,6504.0,6504.0,6566.5,-0.013978088401964461
2018-07-06 04:00:00,0.0001,0.011268685320046101,6522.5,6522.5,6596.0,0.009609471094710997
2018-07-06 12:00:00,0.0001,0.008582375478927151,6525.0,6525.0,6581.0,0.011268685320046101
2018-07-06 20:00:00,0.0001,-0.004035635422218853,6566.5,6566.5,6540.0,0.008582375478927151
2018-07-07 04:00:00,0.0001,0.018799272286234014,6596.0,6596.0,6720.0,-0.004035635422218853
2018-07-07 12:00:00,0.0001,0.02279288861875095,6581.0,6581.0,6731.0,0.018799272286234014
2018-07-07 20:00:00,0.0001,0.03203363914373081,6540.0,6540.0,6749.5,0.02279288861875095
2018-07-08 04:00:00,0.0001,-0.0015625000000000222,6720.0,6720.0,6709.5,0.03203363914373081
2018-07-08 12:00:00,0.0001,-0.0025256276927647647,6731.0,6731.0,6714.0,-0.0015625000000000222
2018-07-08 20:00:00,0.0001,-0.005778205793021685,6749.5,6749.5,6710.5,-0.0025256276927647647
2018-07-09 04:00:00,-9.2e-05,-0.010432968179447055,6709.5,6709.5,6639.5,-0.005778205793021685
2018-07-09 12:00:00,0.0001,-0.05265117664581476,6714.0,6714.0,6360.5,-0.010432968179447055
2018-07-09 20:00:00,0.0001,-0.05081588555249239,6710.5,6710.5,6369.5,-0.05265117664581476
2018-07-10 04:00:00,0.0001,-0.044656977182016666,6639.5,6639.5,6343.0,-0.05081588555249239
2018-07-10 12:00:00,0.0001,0.0008647118937190612,6360.5,6360.5,6366.0,-0.044656977182016666
2018-07-10 20:00:00,0.0001,-0.0035324593767172008,6369.5,6369.5,6347.0,0.0008647118937190612
2018-07-11 04:00:00,0.0001,-0.0003941352672237608,6343.0,6343.0,6340.5,-0.0035324593767172008
2018-07-11 12:00:00,0.0001,-0.0313383600377003,6366.0,6366.0,6166.5,-0.0003941352672237608
2018-07-11 20:00:00,0.0001,-0.027178194422561863,6347.0,6347.0,6174.5,-0.0313383600377003
2018-07-12 04:00:00,0.0001,-0.01592934311174199,6340.5,6340.5,6239.5,-0.027178194422561863
2018-07-12 12:00:00,-0.000324,0.011919241060569297,6166.5,6166.5,6240.0,-0.01592934311174199
