timestamp,USDBON8H,XBTBON8H,XBTUSDPI8H
2016-06-27 12:00:00+00:00,0.0009029999999999999,0.000105,0.001666
2016-06-27 20:00:00+00:00,0.0007740000000000001,9.4e-05,0.0009480000000000001
2016-06-28 04:00:00+00:00,0.000753,9.2e-05,0.000271
2016-06-28 12:00:00+00:00,0.000724,9.1e-05,0.00022200000000000003
2016-06-28 20:00:00+00:00,0.000697,9.1e-05,-5.5e-05
2016-06-29 04:00:00+00:00,0.0006889999999999999,9.1e-05,-0.000605
2016-06-29 12:00:00+00:00,0.000664,9e-05,-0.00011599999999999999
2016-06-29 20:00:00+00:00,0.000625,8.7e-05,0.001916
2016-06-30 04:00:00+00:00,0.000634,8.3e-05,0.003104
2016-06-30 12:00:00+00:00,0.000634,7e-05,0.0024879999999999998
2016-06-30 20:00:00+00:00,0.000642,6.2e-05,0.00359
2016-07-01 04:00:00+00:00,0.000627,5.7999999999999994e-05,0.003611
2016-07-01 12:00:00+00:00,0.000708,5.7999999999999994e-05,0.00013700000000000002
2016-07-01 20:00:00+00:00,0.00067,5.6000000000000006e-05,-0.00025
2016-07-02 04:00:00+00:00,0.000669,5.4000000000000005e-05,0.001265
2016-07-02 12:00:00+00:00,0.000625,5.5e-05,0.002205
2016-07-02 20:00:00+00:00,0.000731,5.5e-05,0.001894
2016-07-03 04:00:00+00:00,0.0007440000000000001,5.5e-05,0.001123
2016-07-03 12:00:00+00:00,0.000677,5.5e-05,0.00023799999999999998
2016-07-03 20:00:00+00:00,0.000667,5.5e-05,0.00041500000000000006
2016-07-04 04:00:00+00:00,0.000724,5.5e-05,-0.0006389999999999999
2016-07-04 12:00:00+00:00,0.000705,5.3e-05,-0.000592
2016-07-04 20:00:00+00:00,0.0006730000000000001,5e-05,-0.000246
2016-07-05 04:00:00+00:00,0.0007099999999999999,5.1e-05,-0.00182
2016-07-05 04:00:00+00:00,0.0007099999999999999,5.1e-05,-0.00182
2016-07-05 04:00:00+00:00,0.0007099999999999999,5.1e-05,-0.00182
2016-07-05 04:00:00+00:00,0.0007099999999999999,5.1e-05,-0.00182
2016-07-05 12:00:00+00:00,0.00063,5.2000000000000004e-05,-0.001222
2016-07-05 20:00:00+00:00,0.00056,5.5e-05,-0.001757
2016-07-06 04:00:00+00:00,0.000573,5.3e-05,-0.001504
2016-07-06 12:00:00+00:00,0.000593,5.2000000000000004e-05,0.001093
2016-07-06 20:00:00+00:00,0.000557,5.5e-05,0.001598
2016-07-07 04:00:00+00:00,0.0005269999999999999,5.4000000000000005e-05,0.002006
2016-07-07 12:00:00+00:00,0.000665,0.000196,-6e-06
2016-07-07 20:00:00+00:00,0.000614,0.000298,-0.0017690000000000002
2016-07-08 04:00:00+00:00,0.000562,0.00020899999999999998,-0.002853
2016-07-08 12:00:00+00:00,0.000544,0.000175,-0.002226
2016-07-08 20:00:00+00:00,0.000504,0.000172,-0.001364
2016-07-09 04:00:00+00:00,0.000508,0.000144,-0.0019309999999999998
2016-07-09 12:00:00+00:00,0.000504,0.000121,-0.001737
2016-07-09 20:00:00+00:00,0.000512,0.0001,-0.0011220000000000002
2016-07-10 04:00:00+00:00,0.000505,9.300000000000001e-05,-0.000753
2016-07-10 12:00:00+00:00,0.0005070000000000001,8.2e-05,-0.001254
2016-07-10 20:00:00+00:00,0.000452,7e-05,-0.000404
2016-07-10 20:00:00+00:00,0.000452,7e-05,-0.000404
2016-07-11 04:00:00+00:00,0.00047599999999999997,7.099999999999999e-05,0.000549
2016-07-11 12:00:00+00:00,0.000471,7.099999999999999e-05,-0.001076
2016-07-11 20:00:00+00:00,0.000478,7.099999999999999e-05,-0.001286
2016-07-12 04:00:00+00:00,0.00045599999999999997,6.9e-05,-0.0007469999999999999
2016-07-12 12:00:00+00:00,0.000446,6.9e-05,-7.2e-05
2016-07-12 20:00:00+00:00,0.00047699999999999994,6.9e-05,0.000279
2016-07-13 04:00:00+00:00,0.000502,6.7e-05,0.0012720000000000001
2016-07-13 12:00:00+00:00,0.000484,6.6e-05,0.000346
2016-07-13 12:00:00+00:00,0.000484,6.6e-05,0.000346
2016-07-13 12:00:00+00:00,0.000484,6.6e-05,0.000346
2016-07-13 12:00:00+00:00,0.000484,6.6e-05,0.000346
2016-07-13 20:00:00+00:00,0.000458,6.6e-05,-0.00037
2016-07-14 04:00:00+00:00,0.00043099999999999996,6.6e-05,-0.0012
2016-07-14 12:00:00+00:00,0.00042800000000000005,6.3e-05,-0.0010539999999999998
2016-07-14 20:00:00+00:00,0.000421,6.4e-05,-0.00048499999999999997
2016-07-15 04:00:00+00:00,0.000426,6.2e-05,-0.000343
2016-07-15 12:00:00+00:00,0.00043499999999999995,6.1e-05,0.000298
2016-07-15 20:00:00+00:00,0.00041600000000000003,6.1e-05,-0.001303
2016-07-16 04:00:00+00:00,0.00041799999999999997,6.1e-05,-0.001073
2016-07-16 12:00:00+00:00,0.00042699999999999997,6.1e-05,-0.00024900000000000004
2016-07-16 20:00:00+00:00,0.000469,6.2e-05,-0.001887
2016-07-17 04:00:00+00:00,0.00047400000000000003,5.9999999999999995e-05,-0.002102
2016-07-17 12:00:00+00:00,0.000479,6.2e-05,0.000668
2016-07-17 20:00:00+00:00,0.000459,6.3e-05,0.0013189999999999999
2016-07-18 04:00:00+00:00,0.000475,5.6000000000000006e-05,0.0017079999999999999
2016-07-18 12:00:00+00:00,0.00047000000000000004,5.3e-05,0.001757
2016-07-18 20:00:00+00:00,0.00047300000000000006,5.2000000000000004e-05,0.001956
2016-07-19 04:00:00+00:00,0.00045,4.6e-05,0.000877
2016-07-19 04:00:00+00:00,0.00045,4.6e-05,0.000877
2016-07-19 12:00:00+00:00,0.00043099999999999996,4.4e-05,7.5e-05
2016-07-19 20:00:00+00:00,0.00044800000000000005,4.9e-05,0.000676
2016-07-20 04:00:00+00:00,0.00043,5e-05,0.000212
2016-07-20 12:00:00+00:00,0.00042300000000000004,4.7e-05,0.001353
2016-07-20 20:00:00+00:00,0.000414,5.2000000000000004e-05,-7.000000000000001e-06
2016-07-21 04:00:00+00:00,0.00042199999999999996,5.3e-05,-0.0010429999999999999
2016-07-21 12:00:00+00:00,0.000449,5.5e-05,1.4000000000000001e-05
2016-07-21 20:00:00+00:00,0.00044,5.5e-05,0.000769
2016-07-21 20:00:00+00:00,0.00044,5.5e-05,0.000769
